Matrix Type,TH,IF,Stego PSNR,Extracted PSNR
Sylvester_Hadamard,10,0.050,48.80,20.77
Sylvester_Hadamard,10,0.060,46.99,20.33
Sylvester_Hadamard,10,0.070,45.22,14.12
Sylvester_Hadamard,10,0.080,43.65,9.44
Sylvester_Hadamard,10,0.090,42.27,7.84
Sylvester_Hadamard,10,0.100,41.03,8.11
Sylvester_Hadamard,10,0.110,39.96,8.87
Sylvester_Hadamard,10,0.120,38.98,9.61
Sylvester_Hadamard,10,0.130,38.11,10.28
Sylvester_Hadamard,10,0.140,37.30,10.65
Sylvester_Hadamard,10,0.150,36.55,9.65
Sylvester_Hadamard,10,0.160,35.87,7.80
Sylvester_Hadamard,10,0.170,35.23,6.98
Sylvester_Hadamard,10,0.180,34.63,7.19
Sylvester_Hadamard,10,0.190,34.06,7.64
Sylvester_Hadamard,10,0.200,33.54,8.08
Sylvester_Hadamard,10,0.210,33.04,8.50
Sylvester_Hadamard,10,0.220,32.59,8.71
Sylvester_Hadamard,10,0.230,32.14,8.18
Sylvester_Hadamard,10,0.240,31.71,7.08
Sylvester_Hadamard,10,0.250,31.32,6.68
Sylvester_Hadamard,10,0.260,30.94,6.85
Sylvester_Hadamard,10,0.270,30.54,7.18
Sylvester_Hadamard,10,0.280,30.21,7.47
Sylvester_Hadamard,10,0.290,29.86,7.78
Sylvester_Hadamard,10,0.300,29.53,7.93
Sylvester_Hadamard,15,0.050,47.48,20.81
Sylvester_Hadamard,15,0.060,46.78,22.45
Sylvester_Hadamard,15,0.070,45.70,23.86
Sylvester_Hadamard,15,0.080,44.40,24.86
Sylvester_Hadamard,15,0.090,43.16,25.70
Sylvester_Hadamard,15,0.100,41.97,21.31
Sylvester_Hadamard,15,0.110,40.84,13.55
Sylvester_Hadamard,15,0.120,39.85,8.92
Sylvester_Hadamard,15,0.130,38.92,7.38
Sylvester_Hadamard,15,0.140,38.06,7.52
Sylvester_Hadamard,15,0.150,37.28,8.06
Sylvester_Hadamard,15,0.160,36.56,8.61
Sylvester_Hadamard,15,0.170,35.88,9.14
